1,The Complete Tales and Poems,Adventure|Children|Comedy|Fantasy
2,Alice's Adventures in Wonderland,Adventure|Children|Fantasy
3,Boundaries: When to Say Yes How to Say No to Take Control of Your Life,Comedy|Romance
4,Wait for It,Comedy|Drama|Romance
5,Egomaniac,Comedy
6,The Firm,Action|Crime|Thriller
7,Short Stories from Hogwarts of Heroism Hardship and Dangerous Hobbies (Pottermore Presents #1),Comedy|Romance
8,Hogwarts: An Incomplete and Unreliable Guide (Pottermore Presents #3),Adventure|Children
9,Short Stories from Hogwarts of Power Politics and Pesky Poltergeists (Pottermore Presents #2),Action
10,The Chemist,Action|Adventure|Thriller
11,Vicious (Sinners of Saint #1),Comedy|Drama|Romance
12,Norse Mythology,Comedy|Horror
13,Neighbor Dearest,Adventure|Children
14,Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls and Everything in Between,Drama
15,Anti-Stepbrother,Action|Adventure|Romance
16,Notes from Underground,Crime|Drama
17,Bossman,Drama|Romance
18,Walden & Civil Disobedience,Comedy
19,Fantastic Beasts and Where to Find Them: The Original Screenplay,Comedy
20,Two By Two,Action|Comedy|Crime|Drama|Thriller
21,Royally Screwed (Royally #1),Comedy|Crime|Thriller
22,Good as Gone,Crime|Drama|Horror|Mystery|Thriller
23,The Sister,Action|Crime|Thriller
24,Lincoln in the Bardo,Drama|Sci-Fi
25,Evelyn After,Drama|Romance
26,Born a Crime: Stories From a South African Childhood,Drama
27,Nutshell,Children|Drama
28,Truly Madly Guilty,Drama|Romance
29,Too Late,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Twisted Palace (The Royals #3),Crime|Drama
31,Broken Prince (The Royals #2),Drama
32,No Man's Land (John Puller #4),Mystery|Sci-Fi|Thriller
34,Faithful,Children|Drama
36,The Hate U Give,Crime|Drama
38,The Whistler,Children|Comedy
39,Paper Girls Vol. 1 (Paper Girls #1),Comedy|Romance
40,The Wrong Side of Goodbye (Harry Bosch #21; Harry Bosch Universe #26),Drama
41,Punk 57,Drama|War
42,Born to Run,Action|Crime|Drama
43,The Bird and the Sword (The Bird and the Sword Chronicles #1),Drama
44,The Things We Wish Were True,Action|Adventure|Fantasy
45,Behind Her Eyes,Comedy|Drama|Thriller
46,We're All Damaged,Drama|Romance
47,The Mothers,Mystery|Thriller
48,Home (Myron Bolitar #11),Children|Drama|Musical|Romance
49,The Sun Is Also a Star,Drama|Romance
50,Secret History (Mistborn #3.5),Crime|Mystery|Thriller
52,Turbo Twenty-Three (Stephanie Plum #23),Comedy|Drama|Romance
53,Paper Princess (The Royals #1),Adventure|Drama
54,Holding Up the Universe,Children|Comedy
55,The Fifth Dominion (Imajica Part #1/2),Drama
57,Harry Potter and the Cursed Child - Parts One and Two (Harry Potter #8),Drama
58,The Girl with the Lower Back Tattoo,Comedy|Drama|Romance
60,Saga Vol. 6 (Saga #6),Adventure|Children|Fantasy
61,Stuck-Up Suit,Drama|Thriller
62,Today Will Be Different,Drama
63,Swing Time,Comedy|Crime
64,The Wall of Winnipeg and Me,Comedy|Romance
65,The Trespasser (Dublin Murder Squad #6),Comedy
66,The Goal (Off-Campus #4),Action|Sci-Fi|Thriller
68,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Comedy|Romance
69,The Underground Railroad,Comedy
70,The Nix,Action|Comedy|Horror|Thriller
71,The Couple Next Door,Action
72,The Girl You Lost,Comedy|Drama
73,The Girl In The Ice (Detective Erika Foster #1),Drama|War
74,Commonwealth,Drama|Romance
75,The Woman in Cabin 10,Comedy|Drama
76,Love Warrior,Action|Sci-Fi|Thriller
77,Night School,True Story
78,The Girl Before,Action|Crime|Drama|Thriller
79,The Dry (Aaron Falk #1),Drama|Thriller
80,Don't You Cry,Children|Drama
81,The Baller: A Down and Dirty Football Novel,Crime|Drama|Romance
82,The Butterfly Garden (The Collector #1),Comedy|Drama
83,The House by the Lake,Drama|Romance
85,The Kept Woman (Will Trent #8),Drama|Romance
86,The Wonder,Action|Adventure|Drama
87,Another Brooklyn,Children|Comedy
88,The Black Widow (Gabriel Allon #16),Comedy
89,Modern Lovers,Action|Thriller
92,Bay of Sighs (The Guardians Trilogy #2),Drama|Horror|Thriller
93,You'll Grow Out of It,Comedy|Horror|Romance
94,Here's to Us,Comedy|Drama|Romance
95,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,Action|Adventure|Thriller
96,Blood Defense (Samantha Brinkman #1),Comedy|Drama
97,RoomHate,Crime|Drama
99,Homegoing,True Story
100,The Hammer of Thor (Magnus Chase and the Gods of Asgard #2),Drama|Thriller
101,Troublemaker: Surviving Hollywood and Scientology,Adventure|Comedy|Crime|Romance
102,The Hidden Oracle (The Trials of Apollo #1),Comedy
103,Big Rock,Mystery|Sci-Fi|Thriller
104,Everything We Keep (Everything We Keep #1),Comedy
105,The Last Mile (Amos Decker #2),Drama|Romance
106,Shrill: Notes from a Loud Woman,Comedy|Drama
107,The Obsession,Adventure|Children|Comedy|Musical
108,The Obelisk Gate (The Broken Earth #2),True Story
110,Wrong (Wrong #1),Action|Drama|War
111,In the Clearing (Tracy Crosswhite #3),Crime|Drama|Thriller
112,Vinegar Girl,Action|Adventure|Comedy|Crime
113,When I'm Gone,Drama|Mystery
116,The Queen's Poisoner (Kingfountain #1),True Story
117,The Last Girl (The Dominion Trilogy #1),Crime|Drama
118,Hamilton: The Revolution,Comedy|Romance
119,First Comes Love,Comedy
121,The Girl With No Past,Drama
122,Beacon 23: The Complete Novel (Beacon 23 #1-5),Comedy|Romance
123,Miller's Valley,Drama|Mystery|Romance
125,LaRose,Comedy
126,All the Ugly and Wonderful Things,Adventure|Children|Fantasy
128,Grimm's Fairy Tales,True Story
129,A Great Reckoning (Chief Inspector Armand Gamache #12),Comedy|Romance
132,The Rainbow Comes and Goes: A Mother and Son On Life Love and Loss,Thriller
135,The Curious Charms of Arthur Pepper,Comedy
137,Behind Closed Doors,True Story
140,Through the Looking-Glass and What Alice Found There,Drama|Romance
141,Radiant Angel (John Corey #7),Comedy
144,Small Great Things,Comedy
145,The Princess Diarist,Action|Comedy|Crime|Drama|Thriller
146,Extreme Prey (Lucas Davenport #26),Adventure|Children
